location,has_owner,owner,raw_material,is_coastal,has_river,river_size_1,river_size_2,river_size_3,river_size_4,river_size_5,adjacent_to_lake,development,population,pop_burghers,pop_clergy,pop_laborers,pop_nobles,pop_peasants,pop_slaves,pop_soldiers,pop_tribesmen,main_rgo_max_level,topography,vegetation,climate,location_rank,river,max_level_RGO_building_alum,level_RGO_building_alum,max_level_RGO_building_amber,level_RGO_building_amber,max_level_RGO_building_bad_sand,level_RGO_building_bad_sand,max_level_RGO_building_beeswax,level_RGO_building_beeswax,max_level_RGO_building_chili,level_RGO_building_chili,max_level_RGO_building_clay,level_RGO_building_clay,max_level_RGO_building_cloves,level_RGO_building_cloves,max_level_RGO_building_coal,level_RGO_building_coal,max_level_RGO_building_cocoa,level_RGO_building_cocoa,max_level_RGO_building_coffee,level_RGO_building_coffee,max_level_RGO_building_copper,level_RGO_building_copper,max_level_RGO_building_cotton,level_RGO_building_cotton,max_level_RGO_building_dyes,level_RGO_building_dyes,max_level_RGO_building_elephants,level_RGO_building_elephants,max_level_RGO_building_fiber_crops,level_RGO_building_fiber_crops,max_level_RGO_building_fish,level_RGO_building_fish,max_level_RGO_building_fruit,level_RGO_building_fruit,max_level_RGO_building_fur,level_RGO_building_fur,max_level_RGO_building_gems,level_RGO_building_gems,max_level_RGO_building_goods_gold,level_RGO_building_goods_gold,max_level_RGO_building_horses,level_RGO_building_horses,max_level_RGO_building_incense,level_RGO_building_incense,max_level_RGO_building_iron,level_RGO_building_iron,max_level_RGO_building_ivory,level_RGO_building_ivory,max_level_RGO_building_lead,level_RGO_building_lead,max_level_RGO_building_legumes,level_RGO_building_legumes,max_level_RGO_building_livestock,level_RGO_building_livestock,max_level_RGO_building_lumber,level_RGO_building_lumber,max_level_RGO_building_marble,level_RGO_building_marble,max_level_RGO_building_medicaments,level_RGO_building_medicaments,max_level_RGO_building_mercury,level_RGO_building_mercury,max_level_RGO_building_olives,level_RGO_building_olives,max_level_RGO_building_pearls,level_RGO_building_pearls,max_level_RGO_building_pepper,level_RGO_building_pepper,max_level_RGO_building_saffron,level_RGO_building_saffron,max_level_RGO_building_salt,level_RGO_building_salt,max_level_RGO_building_saltpeter,level_RGO_building_saltpeter,max_level_RGO_building_sand,level_RGO_building_sand,max_level_RGO_building_silk,level_RGO_building_silk,max_level_RGO_building_silver,level_RGO_building_silver,max_level_RGO_building_stone,level_RGO_building_stone,max_level_RGO_building_sugar,level_RGO_building_sugar,max_level_RGO_building_tea,level_RGO_building_tea,max_level_RGO_building_tin,level_RGO_building_tin,max_level_RGO_building_tobacco,level_RGO_building_tobacco,max_level_RGO_building_wheat,level_RGO_building_wheat,max_level_RGO_building_wild_game,level_RGO_building_wild_game,max_level_RGO_building_wine,level_RGO_building_wine,max_level_RGO_building_wool,level_RGO_building_wool,max_level_apothecary,level_apothecary,max_level_bog_iron_smelter,level_bog_iron_smelter,max_level_brewery,level_brewery,max_level_charcoal_maker,level_charcoal_maker,max_level_clay_pit,level_clay_pit,max_level_cloth_guild,level_cloth_guild,max_level_distillers_guild,level_distillers_guild,max_level_dyes_guild,level_dyes_guild,max_level_elephant_hunting_grounds,level_elephant_hunting_grounds,max_level_farming_village,level_farming_village,max_level_fiber_crops_farm,level_fiber_crops_farm,max_level_fine_cloth_guild,level_fine_cloth_guild,max_level_fishing_village,level_fishing_village,max_level_forest_village,level_forest_village,max_level_fruit_orchard,level_fruit_orchard,max_level_furniture_guild,level_furniture_guild,max_level_glass_guild,level_glass_guild,max_level_hand_cannon_guild,level_hand_cannon_guild,max_level_horse_breeders,level_horse_breeders,max_level_jewelry_guild,level_jewelry_guild,max_level_lacquerware_guild,level_lacquerware_guild,max_level_lumber_mill,level_lumber_mill,max_level_market_village,level_market_village,max_level_marketplace,level_marketplace,max_level_mason,level_mason,max_level_naval_supplies_guild,level_naval_supplies_guild,max_level_paper_guild,level_paper_guild,max_level_porcelain_guild,level_porcelain_guild,max_level_pottery_guild,level_pottery_guild,max_level_provisions_market,level_provisions_market,max_level_rural_clothmaker,level_rural_clothmaker,max_level_rural_glassmaker,level_rural_glassmaker,max_level_salt_collector,level_salt_collector,max_level_sand_pit,level_sand_pit,max_level_scriptorium,level_scriptorium,max_level_sheep_farms,level_sheep_farms,max_level_stone_quarry,level_stone_quarry,max_level_tannery,level_tannery,max_level_tar_kiln,level_tar_kiln,max_level_tools_guild,level_tools_guild,max_level_urban_amenities,level_urban_amenities,max_level_victualling_house,level_victualling_house,max_level_weapon_guild,level_weapon_guild,max_level_winery,level_winery,max_level_local_smelters,level_local_smelters,max_level_saltpeter_guild,level_saltpeter_guild,max_level_sawmill,level_sawmill,max_level_windmill,level_windmill
helmond,yes,BRB,beeswax,0,0,0,0,0,0,0,0,23,13.71808,0,0.06858,0,0.04428,13.60522,0,0,0,8.1081,flatland,grasslands,oceanic_climate,rural_settlement,none,,,,,2.59875,,8.1081,,,,,,,,,,,,,,,,,,,,,,,,,,2.59875,,,,,,,,,,,,,,,,,,,,2.59875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59875,,,,,,2.59875,,,,,,,,,,,,,,,,,,,,3.9859,,2.59875,,,,,,,,,,,,,,,,,,,,,,,,3.9859,,,,3.9859,,,,,,,,,,3.9859,,3.9859,,3.9859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuijk,yes,CJK,livestock,0,1,1,0,0,0,0,0,24,14.08318,0,0.09858,0,0.08337,13.90123,0,0,0,7.23894,flatland,grasslands,oceanic_climate,rural_settlement,1,,,,,2.397,,2.397,,,,2.397,,,,,,,,,,,,,,,,,,,,1,,2.397,,,,,,,,,,,,,,,,,,,,7.23894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.397,,,,,,2.397,,,,,,,,,,,,,,,,,,,,5.10415,1,2.397,,,,,,,,,,,,,,,,,,,,,,,,5.10415,,,,4.10415,,,,,,,,,,4.10415,,4.10415,,4.10415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hertogenbosch,yes,BRB,fiber_crops,0,1,1,0,0,0,0,0,19,36.88973,1.70031,0.69027,0.85015,0.24789,32.80101,0,0.6001,0,3.70968,wetlands,woods,oceanic_climate,town,1,,,,,1.189,,,,,,1.189,,,,,,,,,,,,,,,,,,3.70968,,1,,,,,,,,,,,,,,,,,,,,,,,,1.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.189,,,,,,4.74448,,1.7384,,4.74448,1,5.74448,,,,4.74448,3,4.74448,,4.74448,1,,,,,,,4.74448,1,,,,,,,4.74448,,4.74448,,1,,,,4.74448,1,4.74448,,,,,,5.74448,3,4.74448,1,4.74448,,4.74448,1,4.74448,,4.74448,1,4.74448,,,,,,,,,,4.74448,,,,,,4.74448,1,5.74448,,4.74448,1,5.83377,,7.59448,,4.74448,1,4.74448,,,,,,,,,
eindhoven,yes,BRB,legumes,0,0,0,0,0,0,0,0,23,22.99872,0,0.11499,0,0.05749,22.82624,0,0,0,8.1081,flatland,grasslands,oceanic_climate,rural_settlement,none,,,,,2.59875,,2.59875,,,,,,,,,,,,,,,,,,,,,,,,,,2.59875,,,,,,,,,,,,,,,,,,8.1081,,2.59875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59875,,,,,,2.59875,,,,,,,,,,,,,,,,,,,,4.44993,1,2.59875,,,,,,,,,,,,,,,,,,,,,,,,4.44993,,,,4.44993,,,,,,,,,,4.44993,,4.44993,,4.44993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brussels,yes,BRB,clay,0,1,1,0,0,0,0,0,28,69.92907,1.70024,1.28884,0.85012,0.50953,64.98026,0,0.60008,0,5.45376,flatland,farmland,oceanic_climate,town,1,,,,,1.748,,1.748,,,,5.45376,,,,,,,,,,,,,,,,,,,,1,,1.748,,,,,,,,,,,,,,,,,,,,1.748,,1.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.748,,,,,,1.748,,7.29645,,,,7.29645,1,,,,,7.29645,3,7.29645,,7.29645,1,,,,,1.748,,7.29645,1,,,,,,,7.29645,,7.29645,,1,,,,7.29645,1,7.29645,,,,,,8.29645,3,7.29645,1,7.29645,,7.29645,1,7.29645,,7.29645,1,7.29645,,,,,,,,,,7.29645,,,,,,7.29645,1,,,7.29645,1,6.25985,,11.49645,,7.29645,1,7.29645,,,,,,,,,
leuven,yes,BRB,wheat,0,0,0,0,0,0,0,0,23,63.18914,1.70021,1.04787,0.8501,0.32935,58.66154,0,0.60007,0,4.22136,flatland,woods,oceanic_climate,town,none,,,,,1.353,,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,1.353,,,,,,,,,,,,,,,,,,,,,,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22136,,1.353,,,,,,6.45945,,,,6.45945,1,6.45945,,,,6.45945,3,6.45945,,6.45945,1,,,,,,,6.45945,1,,,,,,,6.45945,,6.45945,,1,,,,6.45945,1,6.45945,,,,,,7.45945,3,6.45945,1,6.45945,,6.45945,1,6.45945,,6.45945,1,6.45945,,,,,,,,,,6.45945,,,,,,6.45945,1,6.45945,,6.45945,1,6.04637,,9.90945,,6.45945,1,6.45945,,,,,,,,1,
nivelles,yes,BRB,wheat,0,0,0,0,0,0,0,0,25,51.71139,0,0.35857,0,0.12927,51.22355,0,0,0,9.1455,flatland,farmland,oceanic_climate,rural_settlement,none,,,,,2.93125,,2.93125,,,,,,,,,,,,,,,,,,,,,,,,,,2.93125,,,,,,,,,,,,,,,,,,,,2.93125,,2.93125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1455,,,,,,2.93125,,,,,,,,,,,,,,,,,,,,6.08556,1,2.93125,,,,,,,,,,,,,,,,,,,,,,,,6.08556,,,,6.08556,,,,,,,,,,6.08556,,6.08556,,6.08556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
borgloon,yes,LOO,wheat,0,1,1,0,0,0,0,0,22,19.53506,0.01,0.59777,0.10002,0.04883,18.72843,0,0.05001,0,6.86144,flatland,woods,oceanic_climate,rural_settlement,1,,,,,2.272,,2.272,,,,2.272,,,,,,,,,,,,,,,,,,,,1,,2.272,,,,,,,,,,,,,,,,,,,,,,2.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86144,,2.272,,,,,,,,,,,,5.17675,,,,,,,,,,,,,,,,,,,,5.17675,,,,,,,,,,,,,,,,,,5.17675,1,,,4.17675,,,,,,,,,,4.17675,,4.17675,,4.17675,,,,,,,,,,,,,,5.17675,,,,,,,,,,,,,,,,,,1,
hasselt,yes,LOO,livestock,0,0,0,0,0,0,0,0,21,18.23376,0.01,0.22765,0.10002,0.09204,17.75404,0,0.05001,0,6.64702,flatland,woods,oceanic_climate,rural_settlement,none,,,,,2.201,,2.201,,,,,,,,,,,,,,,,,,,,,,,,,,2.201,,,,,,,,,,,,,,,,,,,,6.64702,,2.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201,,,,,,,,,,,,4.01168,,,,,,,,,,,,,,,,,,,,4.01168,,,,,,,,,,,,,,,,,,4.01168,1,,,4.01168,,,,,,,,,,4.01168,,4.01168,,4.01168,,,,,,,,,,,,,,4.01168,,,,,,,,,,,,,,,,,,,
bree,yes,LOO,legumes,0,1,1,0,0,0,0,0,22,15.55837,0.01,0.07778,0.10002,0.03888,15.28168,0,0.05001,0,6.86144,flatland,woods,oceanic_climate,rural_settlement,1,,,,,2.272,,2.272,,,,2.272,,,,,,,,,,,,,,,,,,,,1,,2.272,,,,,,,,,,,,,,,,,,6.86144,,,,2.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.272,,,,,,,,,,,,4.97791,,,,,,,,,,,,,,,,,,,,4.97791,,,,,,,,,,,,,,,,,,4.97791,1,,,3.97791,,,,,,,,,,3.97791,,3.97791,,3.97791,,,,,,,,,,,,,,4.97791,,,,,,,,,,,,,,,,,,,
ghent,yes,FLA,wool,0,1,1,0,0,0,0,0,31,62.75272,4.62627,1.45411,2.20037,0.28963,52.93213,0,1.25021,0,6.2115,flatland,grasslands,oceanic_climate,city,1,,,,,2.0705,,2.0705,,,,2.0705,,,,,,,,,,,,,,,,,,,,1,,2.0705,,,,,,,,,,,,,,,,,,,,2.0705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0705,,,,,,6.2115,,12.23763,,,,12.23763,4,,,,,24.47526,8,12.23763,1,12.23763,2,,,,,2.0705,,24.47526,3,,,,,,,12.23763,1,12.23763,1,1,,,,12.23763,2,12.23763,,,,,,14.56139,4,12.23763,2,12.23763,,12.23763,2,12.23763,,12.23763,2,12.23763,,,,,,,,,,12.23763,,,,,,12.23763,1,,,12.23763,1,10.3655,,21.88763,,12.23763,3,12.23763,,,,,,,,,
aalst,yes,FLA,legumes,0,1,1,0,0,0,0,0,26,31.24996,0,0.15624,0,0.07812,31.0156,0,0,0,7.56,flatland,grasslands,oceanic_climate,rural_settlement,1,,,,,2.52,,2.52,,,,2.52,,,,,,,,,,,,,,,,,,,,1,,2.52,,,,,,,,,,,,,,,,,,7.56,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,2.52,,,,,,,,,,,,,,,,,,,,6.16249,1,2.52,,,,,,,,,,,,,,,,,,,,,,,,6.16249,,,,5.16249,,,,,,,,,,5.16249,,5.16249,,5.16249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hulst,yes,FLA,salt,1,0,0,0,0,0,0,0,25,16.82771,0,0.08413,0.10002,0.04206,16.55149,0,0.05001,0,11.778,wetlands,farmland,oceanic_climate,rural_settlement,none,,,,,2.6425,,,,,,2.6425,,,,,,,,,,,,,,,,,,,,2.6425,,,,,,,,,,,,,,,,,,,,,,,,2.6425,,,,,,,,,,,,,,,,11.778,,,,,,,,,,,,,,,,,,,,,,,,,,2.6425,,,,2,,,,,,,,,,,,,,,,,,,,,,4.34138,1,,,,,,,,,,,,,,,,,,,4.34138,,,,4.34138,,,,,,,,,,4.34138,,4.34138,,4.34138,,11.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kortriik,yes,FLA,fiber_crops,0,0,0,0,0,0,0,0,23,58.63883,0.01,0.29318,0.1,0.14659,58.03906,0,0.05,0,6.9795,flatland,woods,oceanic_climate,rural_settlement,none,,,,,2.3265,,2.3265,,,,,,,,,,,,,,,,,,,,,,6.9795,,,,2.3265,,,,,,,,,,,,,,,,,,,,,,2.3265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3265,,,,,,,,,,,,6.23194,,,,,,,,,,,,,,,,,,,,6.23194,,,,,,,,,,,,,,,,,,6.23194,1,,,6.23194,,,,,,,,,,6.23194,,6.23194,,6.23194,,,,,,,,,,,,,,6.23194,,,,,,,,,,,,,,,,,,,
oudenaarde,yes,FLA,stone,0,1,1,0,0,0,0,0,26,10.27641,0,0.05138,0,0.02568,10.19935,0,0,0,7.56,flatland,grasslands,oceanic_climate,rural_settlement,1,,,,,2.52,,2.52,,,,2.52,,,,,,,,,,,,,,,,,,,,1,,2.52,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,,,,,,,,,,2.52,,,,,,2.52,,,,,,,,,,,,,,,,,,,,5.11382,1,2.52,,,,,,,,,,,,,,,,,,,,,,,,5.11382,,,,4.11382,,,,,,,,,,4.11382,,4.11382,,4.11382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sint_niklaas,yes,FLA,fiber_crops,1,1,1,0,0,0,0,0,28,61.07009,1.82242,1.01606,0.85014,0.19768,56.5837,0,0.60009,0,5.757,flatland,grasslands,oceanic_climate,town,1,,,,,1.919,,1.919,,,,1.919,,,,,,,,,,,,,,,,,,5.757,,1,,1.919,,,,,,,,,,,,,,,,,,,,1.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.919,,,,,,1.919,,6.8535,,,,6.8535,1,,,,,6.8535,3,6.8535,,6.8535,1,,,,,,,6.8535,1,,,,,,,6.8535,,6.8535,,1,,,,6.8535,1,6.8535,,,,,,8.63885,3,6.8535,1,6.8535,,6.8535,1,6.8535,,6.8535,1,6.8535,,,,,,2.8684,,,,6.8535,,,,,,6.8535,1,,,6.8535,1,6.24214,,11.0535,,6.8535,1,6.8535,,,,,,,,,
lille,yes,FRA,wheat,0,0,0,0,0,0,0,0,27,68.19764,0,0.34098,0,0.17048,67.68618,0,0,0,10.65932,flatland,farmland,oceanic_climate,rural_settlement,none,,,,,3.2301,,3.2301,,,,,,,,,,,,,,,,,,,,,,,,,,3.2301,,,,,,,,,,,,,,,,,,,,3.2301,,3.2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65932,,,,,,3.2301,,,,,,,,,,,,,,,,,,,,7.10988,2,3.2301,,,,,,,,,,,,,,,,,,,,,,,,7.10988,,,,7.10988,,,,,,,,,,7.10988,,7.10988,,7.10988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
douai,yes,FRA,wheat,0,0,0,0,0,0,0,0,27,30.30981,0.01,0.15154,0.10001,0.07577,29.92249,0,0.05,0,10.72037,flatland,farmland,oceanic_climate,rural_settlement,none,,,,,3.2486,,3.2486,,,,,,,,,,,,,,,,,,,,,,,,,,3.2486,,,,,,,,,,,,,,,,,,,,3.2486,,3.2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72037,,,,,,3.2486,,,,,,,,,,,,,,,,,,,,5.21549,,3.2486,,,,,,,,,,,,,,,,,,,,,,,,5.21549,1,,,5.21549,,,,,,,,,,5.21549,,5.21549,,5.21549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
tournai,yes,FRA,stone,0,1,1,0,0,0,0,0,30,38.6516,1.70033,1.0185,0.85016,0.47018,34.01232,0,0.60011,0,7.425,flatland,farmland,oceanic_climate,town,1,,,,,2.25,,2.25,,,,2.25,,,,,,,,,,,,,,,,,,,,1,,2.25,,,,,,,,,,,,,,,,,,,,2.25,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,7.425,,,,,,,,,,2.25,,,,,,2.25,,5.93258,,,,5.93258,1,,,,,5.93258,3,5.93258,,5.93258,1,,,,,2.25,,5.93258,1,,,,,,,5.93258,,5.93258,,1,,,,5.93258,1,5.93258,,,,,,6.93258,3,5.93258,1,5.93258,,5.93258,1,5.93258,,5.93258,1,5.93258,,,,,,,,,,5.93258,,,,,,5.93258,1,,,5.93258,1,6.2773,,10.43258,,5.93258,1,5.93258,,,,,,,,,
bruges,yes,FLA,dyes,1,0,0,0,0,0,0,0,33.25,93.77805,5.78829,1.7443,2.20039,0.492,82.3029,0,1.25017,0,7.20112,flatland,farmland,oceanic_climate,city,none,,,,,2.40037,,2.40037,,,,2.40037,,,,,,,,,,,,,,7.20112,,,,,,2.40037,,2.40037,,,,,,,,,,,,,,,,,,,,2.40037,,2.40037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40037,,,,,,2.40037,,14.0139,,,,14.0139,3,,,,,28.0278,7,14.0139,1,14.0139,4,,,,,2.40037,,28.0278,4,,,,,,,14.0139,1,14.0139,1,1,,,,14.0139,2,14.0139,,,,,,16.51529,5,14.0139,2,14.0139,,14.0139,2,14.0139,,14.0139,2,14.0139,,,,,,3.6186,,,,14.0139,,,,,,14.0139,2,,,14.0139,2,10.51755,,24.0014,,14.0139,2,14.0139,,,,,,,,,
cassel,yes,FLA,wheat,0,0,0,0,0,0,0,0,25,27.94638,0,0.13972,0,0.06986,27.7368,0,0,0,7.35,flatland,grasslands,oceanic_climate,rural_settlement,none,,,,,2.45,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,,,,,,2.45,,,,,,,,,,,,,,,,,,,,4.89731,1,2.45,,,,,,,,,,,,,,,,,,,,,,,,4.89731,,,,4.89731,,,,,,,,,,4.89731,,4.89731,,4.89731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
dunkirk,yes,FLA,sand,1,0,0,0,0,0,0,0,29.5,22.4408,0.01,0.1122,0.10002,0.0561,22.11247,0,0.05001,0,8.94675,flatland,farmland,oceanic_climate,rural_settlement,none,,,,,,,2.98225,,,,2.98225,,,,,,,,,,,,,,,,,,,,2.98225,,2.98225,,,,,,,,,,,,,,,,,,,,2.98225,,2.98225,,,,,,,,,,,,,,,,,,,,8.94675,,,,,,,,,,,,,,,,2.98225,,,,,,2.98225,,,,,,,,,,,,,,,,,,,,,,2.98225,,,,5.07204,,,,,,,,,,,,,,,,,,,,5.07204,1,,,5.07204,,,,,,,,,,5.07204,,5.07204,,5.07204,,4.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ostend,yes,FLA,fish,1,0,0,0,0,0,0,0,29.5,37.42091,0.01,0.1871,0.10001,0.09354,36.98026,0,0.05,0,8.94675,flatland,farmland,oceanic_climate,rural_settlement,none,,,,,2.98225,,2.98225,,,,2.98225,,,,,,,,,,,,,,,,,,,,8.94675,,2.98225,,,,,,,,,,,,,,,,,,,,2.98225,,2.98225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98225,,,,,,2.98225,,,,,,,,,,,,,,,,,,,,,,2.98225,,,,5.82104,,,,,,,,,,,,,,,,,,,,5.82104,1,,,5.82104,,,,,,,,,,5.82104,,5.82104,,5.82104,,4.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veurne,yes,FLA,horses,1,0,0,0,0,0,0,0,27,34.59953,0,0.17299,0.10001,0.08649,34.19004,0,0.05,0,8.3805,flatland,farmland,oceanic_climate,rural_settlement,none,,,,,2.7935,,2.7935,,,,2.7935,,,,,,,,,,,,,,,,,,,,2.7935,,2.7935,,,,,,,,8.3805,,,,,,,,,,,,2.7935,,2.7935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7935,,,,,,2.7935,,,,,,,,,,,,,,,,,,,,,,2.7935,,,,5.42997,1,,,,,,,,,,,,,,,,,,,5.42997,,,,5.42997,,,,,,,,,,5.42997,,5.42997,,5.42997,,4.1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ypres,yes,FLA,clay,0,0,0,0,0,0,0,0,27,42.92668,2.18622,0.74394,0.85015,0.15231,38.39396,0,0.6001,0,5.6055,flatland,grasslands,oceanic_climate,town,none,,,,,1.8685,,1.8685,,,,5.6055,,,,,,,,,,,,,,,,,,,,,,1.8685,,,,,,,,,,,,,,,,,,,,1.8685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8685,,,,,,1.8685,,5.84633,,,,5.84633,1,,,,,11.69266,5,5.84633,,5.84633,1,,,,,1.8685,,11.69266,3,,,,,,,5.84633,,5.84633,,1,,,,5.84633,1,5.84633,,,,,,7.53096,3,5.84633,1,5.84633,,5.84633,1,5.84633,,5.84633,1,5.84633,,,,,,,,,,5.84633,,,,,,5.84633,1,,,5.84633,1,6.16585,,9.89633,,5.84633,1,5.84633,,,,,,,,,
emden,yes,FRI,salt,1,1,1,0,0,0,0,0,17.75,7.04055,0,0.0352,0.10012,0.0176,6.83757,0,0.05006,0,11.24736,wetlands,grasslands,oceanic_climate,rural_settlement,1,,,,,2.41424,,,,,,2.41424,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24736,,,,,,,,,,,,,,,,,,,,,,,,,,2.41424,,,,2,,,,,,,,,,,,,,,,,,,,,,4.12702,1,,,,,,,,,,,,,,,,,,,4.12702,,,,3.12702,,,,,,,,,,3.12702,,3.12702,,3.12702,,11.24736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jever,yes,JEV,sand,1,0,0,0,0,0,0,0,15,11.36962,0,0.07957,0,0.06116,11.22889,0,0,0,6.1035,wetlands,grasslands,oceanic_climate,rural_settlement,none,,,,,,,,,,,1.95625,,,,,,,,,,,,,,,,,,,,1.95625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1035,,,,,,,,,,,,,,,,,,,,,,1.95625,,,,2,,,,,,,,,,,,,,,,,,,,,,3.06848,,,,,,,,,,,,,,,,,,,,3.06848,,,,3.06848,,,,,,,,,,3.06848,,3.06848,,3.06848,,2.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurich,yes,FRI,legumes,0,0,0,0,0,0,0,0,13,7.50586,0,0.03752,0,0.01876,7.44958,0,0,0,6.3664,wetlands,grasslands,oceanic_climate,rural_settlement,none,,,,,1.9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9895,,,,2,,,,,,,,,,,,,,,,2.67529,,,,,,,,,,,,,,,,,,,,,,,,,,2.67529,,,,2.67529,,,,,,,,,,2.67529,,2.67529,,2.67529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leer,yes,FRI,fish,1,1,1,0,0,0,0,0,21.5,11.12562,0,0.06674,0.10002,0.03893,10.86992,0,0.05001,0,8.7696,flatland,grasslands,oceanic_climate,rural_settlement,1,,,,,2.7405,,2.7405,,,,2.7405,,,,,,,,,,,,,,,,,,,,8.7696,,2.7405,,,,,,,,,,,,,,,,,,,,2.7405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7405,,,,,,2.7405,,,,,,,,,,,,,,,,,,,,,,2.7405,,,,4.70628,1,,,,,,,,,,,,,,,,,,,4.70628,,,,3.70628,,,,,,,,,,3.70628,,3.70628,,3.70628,,4.0368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appingedam,yes,FRI,fish,1,0,0,0,0,0,0,0,15.5,13.70613,0,0.06852,0,0.04426,13.59335,0,0,0,7.0584,wetlands,grasslands,oceanic_climate,rural_settlement,none,,,,,2.20575,,,,,,2.20575,,,,,,,,,,,,,,,,,,,,7.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20575,,,,2,,,,,,,,,,,,,,,,,,,,,,3.2353,,,,,,,,,,,,,,,,,,,,3.2353,,,,3.2353,,,,,,,,,,3.2353,,3.2353,,3.2353,,3.1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groningen,yes,FRI,clay,1,0,0,0,0,0,0,0,16.25,16.55773,1.76594,0.21591,0.85019,0.11951,13.00605,0,0.60013,0,4.242,wetlands,grasslands,oceanic_climate,town,none,,,,,1.32562,,,,,,4.242,,,,,,,,,,,,,,,,,,,,1.32562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32562,,3.45288,,1.919,,3.45288,1,,,,,3.45288,3,3.45288,,3.45288,,,,,,,,3.45288,1,,,,,,,3.45288,,3.45288,,1,,,,3.45288,1,3.45288,,,,,,6.67932,3,3.45288,1,3.45288,,3.45288,1,3.45288,,3.45288,1,3.45288,,,,,,1.919,,,,3.45288,,,,,,3.45288,1,,,3.45288,,5.68311,,5.89038,,3.45288,1,3.45288,,,,,,,,,
